,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,Attrition,EducationField_Human_Resources,EducationField_Life_Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical_Degree,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,DailyRate,MonthlyIncome
0,41,1,2,2,3,2,4,8,11,0,8,1,6,4,1,0,1,0,0,0,0,0,0,1,0,1,0.430635838,0.322429907
1,49,8,1,3,2,4,2,1,23,1,10,3,10,7,0,0,1,0,0,0,0,0,1,0,1,0,-0.75867052,0.110181997
2,37,2,2,4,2,9,3,6,15,0,7,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.822254335,-0.637481554
3,33,3,4,4,3,4,3,1,11,0,8,3,8,7,0,0,1,0,0,0,0,0,1,0,0,1,0.849710983,-0.436055091
4,27,2,1,1,3,9,2,9,12,1,6,3,2,2,0,0,0,0,1,0,0,0,1,0,1,0,-0.307803468,-0.298573537
5,32,2,2,4,3,9,4,0,13,0,8,2,7,7,0,0,1,0,0,0,0,0,0,1,1,0,0.290462428,-0.39695032
6,59,3,3,3,4,9,1,4,20,3,12,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0.751445087,-0.494835219
7,30,24,1,4,3,9,3,1,22,1,1,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0.800578035,-0.489178554
8,38,23,3,4,2,6,3,0,21,0,10,3,9,7,0,0,1,0,0,0,0,0,0,1,1,0,-0.849710983,1.191342843
9,36,27,3,3,3,7,3,6,13,2,17,2,7,7,0,0,0,0,1,0,0,0,1,0,1,0,0.715317919,0.136497787
10,35,16,3,1,4,9,2,0,13,1,6,3,5,4,0,0,0,0,1,0,0,0,1,0,1,0,0.007225434,-0.554845057
